"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"DT_PLEITO";"CD_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_LOCAL_VOTACAO";"SQ_CORRESPONDENCIA_ESPERADA";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_CARGA_1_URNA_ESPERADA";"CD_CARGA_2_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"DT_RECBTO_URNA_ESPERADA";"SQ_CORRESPONDENCIA_EFETIVADA";"NR_URNA_EFETIVADA";"CD_CARGA_URNA_EFETIVADA";"CD_CARGA_1_URNA_EFETIVADA";"CD_CARGA_2_URNA_EFETIVADA";"CD_FLASHCARD_URNA_EFETIVADA";"DT_CARGA_URNA_EFETIVADA";"DT_RECBTO_URNA_EFETIVADA";"CD_ORIGEM_VOTO";"DS_ORIGEM_VOTO";"TP_DIVERGENCIA";"NM_MAQUINA_GERACAO_MIDIA";"NR_SRI_TPM_GERACAO_MIDIA";"NR_SRI_INSTAL_GERACAO_MIDIA";"NM_MAQUINA_TRANSM_CORRESP";"NR_SRI_TPM_TRANSM_CORRESP";"NR_SRI_INSTAL_TRANSM_CORRESP"
"05/05/2025";"10:00:22";2024;"2025-05-04 00:00:00";3100;"PE";"24236";"GOIANA";25;1;1040;2719743;2221138;137282248828659164486613;"137.282.248.828.659.164.";"486.613";"236300A9";"2025-04-29 08:22:00";"2025-04-29 13:05:35";2719743;2221138;137282248828659164486613;"137.282.248.828.659.164.";"486.613";"236300A9";"2025-04-29 08:22:00";"2025-04-29 13:05:35";"U";"Urna Eletrônica";"#NULO";"ZPE025WKS50";"72E39A3E";"E399A9CE";"ZPE025WKS51";"7E916FF3";"10482C3D"
"05/05/2025";"10:00:22";2024;"2025-05-04 00:00:00";3100;"PE";"24236";"GOIANA";25;2;1040;2719744;2194003;955464178210729979733425;"955.464.178.210.729.979.";"733.425";"236300A9";"2025-04-29 08:43:00";"2025-04-29 13:05:37";2719744;2194003;955464178210729979733425;"955.464.178.210.729.979.";"733.425";"236300A9";"2025-04-29 08:43:00";"2025-04-29 13:05:37";"U";"Urna Eletrônica";"#NULO";"ZPE025WKS50";"72E39A3E";"E399A9CE";"ZPE025WKS51";"7E916FF3";"10482C3D"
"05/05/2025";"10:00:22";2024;"2025-05-04 00:00:00";3100;"PE";"24236";"GOIANA";25;3;1040;2719745;2049604;884757210903472352364363;"884.757.210.903.472.352.";"364.363";"236300A9";"2025-04-29 09:04:00";"2025-04-29 13:05:37";2719745;2049604;884757210903472352364363;"884.757.210.903.472.352.";"364.363";"236300A9";"2025-04-29 09:04:00";"2025-04-29 13:05:37";"U";"Urna Eletrônica";"#NULO";"ZPE025WKS50";"72E39A3E";"E399A9CE";"ZPE025WKS51";"7E916FF3";"10482C3D"
"05/05/2025";"10:00:22";2024;"2025-05-04 00:00:00";3100;"PE";"24236";"GOIANA";25;4;1023;2719746;2161043;76676517822701678283751;"076.676.517.822.701.678.";"283.751";"236300A9";"2025-04-29 09:22:00";"2025-04-29 13:05:37";2719746;2161043;76676517822701678283751;"076.676.517.822.701.678.";"283.751";"236300A9";"2025-04-29 09:22:00";"2025-04-29 13:05:37";"U";"Urna Eletrônica";"#NULO";"ZPE025WKS50";"72E39A3E";"E399A9CE";"ZPE025WKS51";"7E916FF3";"10482C3D"
"05/05/2025";"10:00:22";2024;"2025-05-04 00:00:00";3100;"PE";"24236";"GOIANA";25;5;1023;2719747;2179362;480717033663552687370090;"480.717.033.663.552.687.";"370.090";"236300A9";"2025-04-29 09:37:00";"2025-04-29 13:05:37";2719747;2179362;480717033663552687370090;"480.717.033.663.552.687.";"370.090";"236300A9";"2025-04-29 09:37:00";"2025-04-29 13:05:37";"U";"Urna Eletrônica";"#NULO";"ZPE025WKS50";"72E39A3E";"E399A9CE";"ZPE025WKS51";"7E916FF3";"10482C3D"
"05/05/2025";"10:00:22";2024;"2025-05-04 00:00:00";3100;"PE";"24236";"GOIANA";25;6;1023;2719748;2046798;824151481897937534685971;"824.151.481.897.937.534.";"685.971";"236300A9";"2025-04-29 09:55:00";"2025-04-29 13:05:37";2719748;2046798;824151481897937534685971;"824.151.481.897.937.534.";"685.971";"236300A9";"2025-04-29 09:55:00";"2025-04-29 13:05:37";"U";"Urna Eletrônica";"#NULO";"ZPE025WKS50";"72E39A3E";"E399A9CE";"ZPE025WKS51";"7E916FF3";"10482C3D"
"05/05/2025";"10:00:22";2024;"2025-05-04 00:00:00";3100;"PE";"24236";"GOIANA";25;7;1023;2719749;2185185;571626345572198336504530;"571.626.345.572.198.336.";"504.530";"236300A9";"2025-04-29 10:12:00";"2025-04-29 13:05:38";2719749;2185185;571626345572198336504530;"571.626.345.572.198.336.";"504.530";"236300A9";"2025-04-29 10:12:00";"2025-04-29 13:05:38";"U";"Urna Eletrônica";"#NULO";"ZPE025WKS50";"72E39A3E";"E399A9CE";"ZPE025WKS51";"7E916FF3";"10482C3D"
"05/05/2025";"10:00:22";2024;"2025-05-04 00:00:00";3100;"PE";"24236";"GOIANA";25;8;1023;2719750;2182318;541323428969184964172709;"541.323.428.969.184.964.";"172.709";"236300A9";"2025-04-29 10:21:00";"2025-04-29 13:05:38";2719750;2182318;541323428969184964172709;"541.323.428.969.184.964.";"172.709";"236300A9";"2025-04-29 10:21:00";"2025-04-29 13:05:38";"U";"Urna Eletrônica";"#NULO";"ZPE025WKS50";"72E39A3E";"E399A9CE";"ZPE025WKS51";"7E916FF3";"10482C3D"
"05/05/2025";"10:00:22";2024;"2025-05-04 00:00:00";3100;"PE";"24236";"GOIANA";25;9;1040;2719751;2195280;834252825498038146303225;"834.252.825.498.038.146.";"303.225";"236300A9";"2025-04-29 10:29:00";"2025-04-29 13:05:38";2719751;2195280;834252825498038146303225;"834.252.825.498.038.146.";"303.225";"236300A9";"2025-04-29 10:29:00";"2025-04-29 13:05:38";"U";"Urna Eletrônica";"#NULO";"ZPE025WKS50";"72E39A3E";"E399A9CE";"ZPE025WKS51";"7E916FF3";"10482C3D"
"05/05/2025";"10:00:22";2024;"2025-05-04 00:00:00";3100;"PE";"24236";"GOIANA";25;10;1040;2719752;2194121;157484221330370947835906;"157.484.221.330.370.947.";"835.906";"236300A9";"2025-04-29 10:38:00";"2025-04-29 13:05:38";2719752;2194121;157484221330370947835906;"157.484.221.330.370.947.";"835.906";"236300A9";"2025-04-29 10:38:00";"2025-04-29 13:05:38";"U";"Urna Eletrônica";"#NULO";"ZPE025WKS50";"72E39A3E";"E399A9CE";"ZPE025WKS51";"7E916FF3";"10482C3D"
