Nome;Mês;Último;Máxima;Mínima;Variação;Var. %;Hora
Ouro;Dez 25;3.449,70;3.453,70;3.448,25;+16,70;+0,49%;21:52:55
XAU/Dólar;;3.394,20;3.399,30;3.394,20;-3,26;-0,10%;21:52:57
Prata;Set 25;38,770;38,773;38,653;+0,077;+0,20%;21:52:54
Cobre;Dez 25;4,4938;4,5017;4,4928;-0,0067;-0,15%;21:52:45
Platina;Out 25;1.345,40;1.348,70;1.342,90;-1,85;-0,14%;21:52:56
Paládio;Dez 25;1.107,25;1.108,75;1.103,00;+0,50;+0,05%;21:52:44
Petróleo WTI;Out 25;63,80;63,84;63,72;-0,04;-0,06%;21:50:41
Petróleo Brent;Nov 25;67,13;67,22;67,06;-0,08;-0,12%;21:51:50
Gás Natural;Out 25;2,874;2,875;2,863;-0,004;-0,14%;21:52:31
Óleo de Aquecimento;Out 25;2,2783;2,2852;2,2768;-0,0034;-0,15%;21:52:46
Gasolina RBOB;Out 25;1,9617;1,9634;1,9604;-0,0004;-0,02%;21:52:17
Gasóleo Londres;Set 25;671,63;672,38;671,13;-1,00;-0,15%;21:50:23
Alumínio;;2.605,40;2.638,80;2.597,75;-32,80;-1,24%;14:29:03
Zinco;;2.769,30;2.772,50;2.763,04;+5,85;+0,21%;21:52:31
Cobre Londres;;9.780,50;9.792,00;9.777,32;+18,50;+0,19%;21:52:36
Níquel;;15.153,75;15.166,50;15.114,25;+53,37;+0,35%;21:52:15
Trigo Chicago;Dez 25;524,62;525,50;523,63;-0,13;-0,02%;21:52:06
Arroz em Casca;Nov 25;11,960;11,960;11,930;+0,040;+0,34%;21:15:29
Milho Chicago;Dez 25;405,90;406,63;405,25;-0,10;-0,02%;21:52:09
Soja Chicago;Nov 25;1.045,75;1.048,50;1.045,75;-2,50;-0,24%;21:52:07
Óleo de Soja Chicago;Dez 25;52,96;53,18;52,93;-0,20;-0,37%;21:52:04
Farelo de Soja Chicago;Dez 25;288,35;289,15;288,20;-0,35;-0,12%;21:52:14
Algodão nº2;Dez 25;66,65;66,88;66,56;-0,06;-0,09%;15:19:56
Cacau NY;Dez 25;7.837,00;7.899,50;7.650,50;+224,00;+2,94%;14:29:55
Café Contrato C;Dez 25;383,95;386,60;364,80;+11,65;+3,13%;14:29:55
Café Londres;Nov 25;4.899,00;4.903,00;4.522,00;+249,00;+5,35%;13:29:59
Açúcar NY nº11;Out 25;16,44;16,53;16,36;+0,03;+0,18%;13:59:58
Suco de Laranja NY;Nov 25;259,30;274,20;241,15;-9,70;-3,61%;14:59:00
Boi Gordo;Ago 25;243,25;246,78;242,15;+0,75;+0,31%;17:58:59
Porco Magro;Out 25;93,90;94,83;93,40;+0,48;+0,51%;17:58:59
Novilho;Out 25;364,20;364,20;364,20;+0,43;+0,12%;19:40:58
Madeira Serrada;Set 25;560,00;560,00;560,00;0,00;0,00%;19:40:16
Aveia;;332,20;332,40;330,50;+1,80;+0,54%;21:46:36
