Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;10
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;1197
Europa;6;Bélgica;59;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;3
América do Norte;3;Canadá;23;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;2
América do Sul;4;Chile;28;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;1
Europa;6;Dinamarca;62;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;2
Europa;6;Eslováquia;63;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;1
Europa;6;Espanha;65;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;9
América do Norte;3;Estados Unidos;24;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;1
Europa;6;França;68;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;8
Europa;6;Holanda;70;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;2
Europa;6;Irlanda;72;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;3
Europa;6;Itália;73;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;77
Europa;6;Letônia;74;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;1
América do Norte;3;México;25;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Paraguai;33;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;1
Europa;6;Polônia;78;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;1
Europa;6;Portugal;79;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;270
Europa;6;Reino Unido;80;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;5
Europa;6;Rússia;83;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;5
Europa;6;Suécia;85;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;1
Europa;6;Suíça;86;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;13
Europa;6;Ucrânia;88;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Venezuela;37;Outras Unidades da Federação;99;Aérea;1;2024;Janeiro;1;4
Europa;6;Itália;73;Amapá;3;Aérea;1;2024;Janeiro;1;2
Europa;6;Alemanha;57;Amazonas;4;Aérea;1;2024;Janeiro;1;27
África;1;Angola;2;Amazonas;4;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Argentina;26;Amazonas;4;Aérea;1;2024;Janeiro;1;8
Oceania;7;Austrália;90;Amazonas;4;Aérea;1;2024;Janeiro;1;11
